,accuracy,precision,recall,f1_score,roc_auc
AdaBoost,0.05286343612334802,0.05286343612334802,1.0,0.10041841004184102,0.8984614776143015
RandomForest,0.4564715754143067,0.08689509007417874,0.9761904761904762,0.15958481998053842,0.8837828930021621
GradientBoost,0.7715544367526747,0.17782909930715934,0.9166666666666666,0.29787234042553196,0.911155935242314
BaggedDecisionTree,0.7728130899937067,0.17257683215130024,0.8690476190476191,0.2879684418145957,0.8656532897396685
LogisticRegression,0.7654709460876862,0.1638198757763975,0.8373015873015873,0.274025974025974,0.8880011953101655
XGBoost,0.908118313404657,0.3302919708029197,0.7182539682539683,0.45249999999999996,0.9146135456766686
DecisionTree,0.9014054961191525,0.2429245283018868,0.4087301587301587,0.3047337278106509,0.6688169066076043
